frame, time(ms)
1 62.004
2 91.6259
3 157.14
4 174.575
5 256.419
6 274.05
7 354.541
8 371.462
9 464.827
10 482.496
11 560.188
12 576.583
13 654.713
14 672.674
15 753.771
16 769.933
17 865.337
18 882.197
19 958.836
20 976.777
21 1055.38
22 1072.62
23 1154.58
24 1164.47
25 1248.9
26 1264.76
27 1360.67
28 1378.96
29 1456.64
30 1473.79
31 1553.44
32 1569.6
33 1649.86
34 1665.85
35 1772.2
36 1788.87
37 1858.64
38 1865.97
39 1953.74
40 1967.36
41 2050.23
42 2068.09
43 2164.04
44 2181.52
45 2258.82
46 2276.07
47 2354.44
48 2371.71
49 2449.75
50 2467.11
51 2559.11
52 2570.76
